?cls	?def	?xrefs
<http://vivoweb.org/ontology/core#ReviewerRole>	"A role that encompasses both ongoing reviewer responsibility for a bibo:Collection, such as a Journal or Series, and also a review performed for a bibo:Document, such as a book, academic article or conference paper."	
<http://vivoweb.org/ontology/core#Program>	"An ongoing academic initiative not formalized with department or division status."	
<http://purl.obolibrary.org/obo/ARG_2000009>		
<http://purl.org/spar/fabio/Erratum>	"A formal correction to an error introduced by the publisher into a previously published document."	
<http://web.resource.org/cc/License>		
<http://www.w3.org/2006/vcard/ns#Acquaintance>		
<http://purl.org/ontology/bibo/Slideshow>	"A presentation of a series of slides, usually presented in front of an audience with written text and images"	
<http://vivoweb.org/ontology/core#Abstract>	"An abstract that is published as a standalone document or in a journal of abstracts"	
<http://purl.obolibrary.org/obo/PATO_0000001>		
<http://vivoweb.org/ontology/core#NewsRelease>	"A short written piece focused on an event or announcement of note, having a defined publication time and of less enduring interest than a news feature."	
<http://www.w3.org/2006/vcard/ns#Work>		
<http://www.w3.org/2006/vcard/ns#Pager>		
<http://purl.org/net/OCRe/study_design.owl#Single_group_study>	"A single group study is an interventional study that has only a single allocation group and no contemporaneuos comparison group.\nA study in which an individual acts has his/her own comparison does not fall into this category, since an individual is not a group."	
<http://vivoweb.org/ontology/core#AdministratorRole>		
<http://www.w3.org/2006/vcard/ns#Key>		
<http://xmlns.com/foaf/0.1/Person>	"An instance of a human being (Homo sapiens)"	
<http://purl.obolibrary.org/obo/OBI_0100026>	"A material entity that is an individual living system, such as animal, plant, bacteria or virus, that is capable of replicating or reproducing, growth and maintenance in the right environment. An organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs."@en	
<http://vivoweb.org/ontology/core#PostdocPosition>	"A postdoctoral training appointment (job)"	
<http://purl.obolibrary.org/obo/ARG_2000008>		
<http://purl.obolibrary.org/obo/IAO_0000005>	"a directive information entity that describes an intended process endpoint. When part of a plan specification the concretization is realized in a planned process in which the bearer tries to effect the world so that the process endpoint is achieved."@en	
<http://vivoweb.org/ontology/core#AdviseeRole>		
<http://purl.obolibrary.org/obo/ARG_2000377>		
<http://vivoweb.org/ontology/core#Award>	"A recognition of outstanding work or action."@en	
<http://www.w3.org/2006/vcard/ns#Language>		
<http://purl.obolibrary.org/obo/ERO_0000779>	"An role that inheres in an individual who is not a citizen but who legally resides in another nation on a permanent or extended basis."	
<http://vivoweb.org/ontology/core#StateOrProvince>	"One of a number of areas or communities having their own governments and forming a federation under a sovereign government, as in the US."	
<http://vivoweb.org/ontology/core#Institute>	"An Institute normally has a research focus but may also fulfill instructional or outreach roles"	
<http://vivoweb.org/ontology/scientific-research#Phase4ClinicalTrial>	"Phase 4 Clinical Trial"	
<http://vivoweb.org/ontology/core#NonFacultyAcademic>	"A person not considered a faculty member but holding an academic appointment."	
<http://purl.obolibrary.org/obo/ERO_0000789>	"An employee role inhering in a person that is realized when the bearer is employed by an employer."	
<http://purl.obolibrary.org/obo/ERO_0000007>	"A technique is a planned process used to accomplish a specific activity or task."	
<http://www.w3.org/2006/vcard/ns#CalendarRequest>		
<http://vivoweb.org/ontology/core#UndergraduateAdvisingRelationship>	"An advisory relationship in which a professor advises an undergraduate student."	
<http://purl.org/ontology/bibo/DocumentPart>	"A distinct part of a larger document or collected document"	
<http://vivoweb.org/ontology/core#Relationship>	"a reified relationship"	
<http://vivoweb.org/ontology/core#FacultyMentoringRelationship>	"An advisory relationship in which one faculty member mentors another faculty member."	
<http://vivoweb.org/ontology/core#PresenterRole>	"A role of presenting information"	
<http://vivoweb.org/ontology/core#ExtensionUnit>	"A unit devoted primarily to extension activities, whether for outreach or research"	
<http://purl.obolibrary.org/obo/OBI_0000066>		
<http://vivoweb.org/ontology/core#ClinicalOrganization>	"Any organization with a significant clinical function as a matter of course and not just through occasional clinical roles"	
<http://vivoweb.org/ontology/core#Speech>	"Text of a speech written in preparation for delivery of the speech."	
<http://purl.org/ontology/bibo/ThesisDegree>	"The academic degree of a Thesis."	
<http://vivoweb.org/ontology/core#Hospital>	"An institution that provides medical, surgical, psychiatric or nursing care."	
<http://www.w3.org/2006/vcard/ns#InstantMessage>		
<http://www.w3.org/2006/vcard/ns#TimeZone>		
<http://www.w3.org/2006/vcard/ns#Organizational>		
<http://purl.obolibrary.org/obo/ERO_0000071>	"A general term primarily used for digitally stored data such as computer programs and other kinds of information read and written by computers."	
<http://vivoweb.org/ontology/core#EditorRole>	"An ongoing editorial responsibility for a bibo:Collection, such as a Journal or Series"	
<http://vivoweb.org/ontology/core#Committee>	"A group of people organized for a specific purpose, whose members are often selected from a larger group to serve for designated periods of time."	
<http://purl.org/ontology/bibo/Manual>	"A book of instructions or guide to a specific topic"	
<http://vivoweb.org/ontology/core#GeographicLocation>	"A location having coordinates in geographic space."	
<http://purl.obolibrary.org/obo/ERO_0000396>	"A material processing service offering that describes a service in which the provider makes physical changes to a specified input material that produce a new entity as specified output that is returned the service consumer.  The specified output of a material production service can be contained within, derived from, or synthesized from specified input materials, but it represents a material entity that is of a distinct type from any of the specified input materials."	
<http://www.w3.org/2006/vcard/ns#Telephone>		
<http://aims.fao.org/aos/geopolitical.owl#self_governing>		
<http://purl.obolibrary.org/obo/ERO_0001257>	"A storage service offering that describes a service in which the consumer provides data as input, which a service provider stores and returns as output in its original form."	
<http://vivoweb.org/ontology/core#DateTimeValuePrecision>	"The precision of a DateTimeValue"@en	
<http://purl.obolibrary.org/obo/ARG_2000379>		
<http://vivoweb.org/ontology/core#WorkingPaper>	"A document created as a basis for discussion or a very early draft of a formal paper"	
<http://purl.org/spar/c4o/BibliographicInformationSource>	"A source of information about bibliographic citations, such as Google Scholar, Web of Science or Scopus."	
<http://purl.obolibrary.org/obo/ERO_0000595>	"A planned process carried out by a person or organization with the objective of performing research."	
<http://purl.obolibrary.org/obo/ERO_0001261>	"A service offering that describes a service in which the consumer provides some input material or data and a service provider returns data about the input material or data."	
<http://purl.obolibrary.org/obo/ERO_0000395>	"An analysis service offering that describes a service in which the consumer provides some input material and a service provider performs some analysis of this material to generate data that is returned to the service consumer."	
<http://vivoweb.org/ontology/core#Foundation>	"An institution founded with an endowment to support educational, research, artistic or other charitable activities."	
<http://vivoweb.org/ontology/core#MedicalResidency>	"Residency is a stage of graduate medical training. "	
<http://www.w3.org/2006/vcard/ns#Child>		
<http://vivoweb.org/ontology/core#Licensure>	"A granted license, which gives a 'permission to practice.'"	
<http://www.w3.org/2006/vcard/ns#Me>		
<http://purl.obolibrary.org/obo/UO_0000280>		
<http://purl.obolibrary.org/obo/IAO_0000009>	"A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	"b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])"@en	
<http://vivoweb.org/ontology/core#EmeritusLibrarian>	"A retired librarian who has retained their rank, title and privileges."	
<http://vivoweb.org/ontology/core#LeaderRole>	"A leadership role"	
<http://vivoweb.org/ontology/core#CaseStudy>	"A qualitative descriptive research study of individuals or a group"	
<http://purl.obolibrary.org/obo/IAO_0000102>	"data about an ontology part is a data item about a part of an ontology, for example a term"@en	
<http://purl.obolibrary.org/obo/ERO_0000224>	"A role inhering in a person or organization that is realized when the bearer participates in providing funding to a person or an organization for academic or business purposes."	
<http://purl.org/ontology/bibo/Manuscript>	"Works prepared by hand including handwritten or typescript drafts of pre-publication papers or works not otherwise reproduced in multiple copies"	
<http://purl.org/ontology/bibo/Magazine>	"Contains articles of current events or general interest, geared to the reading public as being informative or recreational"	
<http://www.w3.org/2006/vcard/ns#Explanatory>		
<http://www.w3.org/2006/vcard/ns#Voice>		
<http://vivoweb.org/ontology/scientific-research#Phase2ClinicalTrial>	"Phase 2 Clinical Trial"	
<http://www.w3.org/2000/10/swap/pim/contact#Person>		
<http://purl.org/ontology/bibo/ReferenceSource>	"A document that presents authoritative reference information, such as a dictionary or encylopedia"	
<http://purl.obolibrary.org/obo/ERO_0000780>	"A non-US citizen role that inheres in an individual who is residing in a country, but is neither a citizen nor a permanent resident. "	
<http://vivoweb.org/ontology/core#FacultyAdministrativePosition>	"An academic administrative position (associate dean, etc.) as distinct from a professional administrative position (non-academic)"	
<http://purl.obolibrary.org/obo/ARG_2000022>		
<http://purl.obolibrary.org/obo/ARG_2000010>		
<http://vivoweb.org/ontology/core#Authorship>	"Contains the authors name, their rank in the publication, and whether or not they are a corresponding author on the publication."	
