?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ERO_0000789>	<http://www.w3.org/2000/01/rdf-schema#label>	"Staff Role"@en	
<http://purl.obolibrary.org/obo/ERO_0001254>	<http://www.w3.org/2000/01/rdf-schema#label>	"Transport Service"@en	
<http://www.w3.org/2006/vcard/ns#Home>	<http://www.w3.org/2000/01/rdf-schema#label>	"Home"@en	
<http://vivoweb.org/ontology/core#Association>	<http://www.w3.org/2000/01/rdf-schema#label>	"Association"@en	
<http://purl.org/ontology/bibo/Magazine>	<http://www.w3.org/2000/01/rdf-schema#label>	"Magazine"@en	
<http://purl.obolibrary.org/obo/BFO_0000029>	<http://www.w3.org/2000/01/rdf-schema#label>	"Site"@en	
<http://purl.obolibrary.org/obo/IAO_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"Datum Label"@en	
<http://www.w3.org/2006/vcard/ns#URL>	<http://www.w3.org/2000/01/rdf-schema#label>	"URL"@en	
<http://purl.org/ontology/bibo/Proceedings>	<http://www.w3.org/2000/01/rdf-schema#label>	"Proceedings"@en	
<http://www.w3.org/2006/vcard/ns#OrganizationUnitName>	<http://www.w3.org/2000/01/rdf-schema#label>	"Organizational Unit Name"@en	
<http://www.w3.org/2006/vcard/ns#Code>	<http://www.w3.org/2000/01/rdf-schema#label>	"Code"@en	
<http://www.w3.org/2006/vcard/ns#Calendar>	<http://www.w3.org/2000/01/rdf-schema#label>	"Calendar"@en	
<http://purl.obolibrary.org/obo/PATO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality"	
<http://vivoweb.org/ontology/core#Certificate>	<http://www.w3.org/2000/01/rdf-schema#label>	"Certificate"@en	
<http://vivoweb.org/ontology/core#Location>	<http://www.w3.org/2000/01/rdf-schema#label>	"Location"@en	
<http://vivoweb.org/ontology/core#MemberRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"Member Role"@en	
<http://vivoweb.org/ontology/core#ConferencePaper>	<http://www.w3.org/2000/01/rdf-schema#label>	"Conference Paper"@en	
<http://purl.org/ontology/bibo/Collection>	<http://www.w3.org/2000/01/rdf-schema#label>	"Collection"@en	
<http://purl.org/ontology/bibo/LegalDecision>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decision"@en	
<http://vivoweb.org/ontology/scientific-research#Phase0ClinicalTrial>	<http://www.w3.org/2000/01/rdf-schema#label>	"Phase 0 Clinical Trial"@en	
<http://vivoweb.org/ontology/core#GraduateAdvisingRelationship>	<http://www.w3.org/2000/01/rdf-schema#label>	"Graduate Advising Relationship"@en	
<http://purl.org/spar/fabio/ClinicalGuideline>	<http://www.w3.org/2000/01/rdf-schema#label>	"Clinical Guideline"@en	
<http://purl.obolibrary.org/obo/ERO_0001260>	<http://www.w3.org/2000/01/rdf-schema#label>	"Data Maintenance Service"@en	
<http://purl.org/ontology/bibo/Interview>	<http://www.w3.org/2000/01/rdf-schema#label>	"Interview"@en	
<http://vivoweb.org/ontology/core#Campus>	<http://www.w3.org/2000/01/rdf-schema#label>	"Campus"@en	
<http://purl.org/ontology/bibo/Hearing>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hearing"@en	
<http://purl.org/ontology/bibo/Legislation>	<http://www.w3.org/2000/01/rdf-schema#label>	"Legislation"@en	
<http://www.w3.org/2006/vcard/ns#CalendarLink>	<http://www.w3.org/2000/01/rdf-schema#label>	"Calendar Link"@en	
<http://www.w3.org/2006/vcard/ns#FormattedName>	<http://www.w3.org/2000/01/rdf-schema#label>	"Formatted Name"@en	
